TITLE	AUTHOR	COAUTHORS	PUBLISHER	SERIES	VOLUME	EDITION	ISBN	BARCODE	PRICE
			Brown Watson				9780709710707	E100002	10.9
Sea Creatures	Judy Nayer	Grace Goldberg	McClanahan Book Company Inc				E100003	E100003	0
Reptiles	Judy Nayer	Grace Goldberg	McClanahan Book Company Inc				E100004	E100004	0
Jungle Life	Judy Nayer	Grace Goldberg	McClanahan Book Company Inc				E100005	E100005	0
Christmas is here			Kregel Publications				9780825455414	E100006	0
Barack	Jonah Winter	AG Ford	Harper Collins Publishers				9780061703928	E100007	0
I Want to Know Church	Rick Osborne		Zondervan Publishing House				9780310220947	E100008	19.95
I Want to Know About God, Jesus, The Bible and Prayer	Rick Osborne		Zonder Kidz				9780310702429	E100009	29.95
I Will Rejoice	Karma Wilson	Amy June Bates	Zonder Kidz				9780310711179	E100010	0
'Let''s Make a Joyful Noise'	Karma Wilson	Amy June Bates	Zonder Kidz				9780310711193	E100011	0
Verdi	Greta Cencetti		'McGraw-Hill Children''s Publishing'				9781588454737	E100012	0
The Joy of Signing	Lottie L. Riekehof		Gospel Publishing House				E100013	E100013	0
How Things Work	Claire Llewellyn		Two-Can Publishing Ltd				E100014	E100014	0
When Does God Sleep?	Phillip W. Rodgers		Kregel Publications				9780825436314	E100015	0
Bible Stories for Children	Rene Cloke		Award Publications				9780861637973	E100016	5
A Smart Fox	Jin-Lin Jang	Pei-Wei Chen	Shu-Fei cai				9789572997109	E100017	0
The Story of Eagle and Hen			 OAK &SQUIRREL				9789572997116	E100018	0
A Lazy Farmer	Jin-Lin Jang	Pei-Wei Chen	Shu-Fei cai				9789572941195	E100019	0
The Moon Dropped	Jin-Lin Jang	Pei-Wei Chen	Shu-Fei cai				9789572941188	E100020	0
An Arrogant White Goose	Jin-Lin Jang	Pei-wei Chen	Shu-Fei cai				9789572997123	E100021	0
Big Ideas in The Bible	Beverly PHILLIPS		World Publishing				9780849910678	E100022	0
The Story of Jonah	Laurence Schorsch		Checkerboard Press				14121002225	E100023	0
One Guinea Pig is not Enough	Kate Duke		'Dutton Children''s Books'				9780525459187	E100024	0
David			Peter Haddock Ltd				9780710509451	E100025	0
The 108th sheep	Ayano Imai		'Bloomsbury children''s Books'				9780747586654	E100026	10
My little Train	Satomi Ichikawa		Philomel Books				9780399254536	E100027	10
Sorry	Nobert Landa	Tim Warnes	Good Books				9781561486625	E100028	10
'Rhino''s Great Big Itch'	Natalie Chivers		Good Books				9781561486847	E100029	10
Little Honey Bear and the Smiley Moon	Gillian Lobel	Tim Warnes	Good Books				9781561485338	E100030	10
Melrose and Croc	Emma Chichester Clark		'HarperCollins Children''s Books'				9780007197293	E100031	10
All things Bright and Beautiful	Claire Page	Jane Horne	Authentic Media				9781846107290	E100032	10
The Most Precious Thing	Grill Lewis	Louise Ho	Good Books				9781561485345	E100033	10
Jesus Love Me			Cliff Road Books				9781602612662	E100034	0
Wee Little Lamb	Lauren Thompson	John Butler	Simon & Schuster Books for Young Readers				851328003163	E100035	10
Animal Crafts			Parragon				9781407571966	E100036	10
Rainy Crafts			Parragon				9781407571942	E100037	10
My First Numbers			Flying Frogs Publishing				9781607450726	E100038	10
GUESS HOW MUCH I LOVE YOU	 Sam McBratney		 Walker Books Ltd				9780744532241	E100039	18
GUESS HOW MUCH I LOVE YOU IN THE SPRING	 Sam McBratney		 Walker Books Ltd				9781406308532	E100040	18
